"variable","label","CURIUMvariable","NTRvariable"
"CBCL6-18_q3","CBCL6_18 - 3 Argues a lot","OX6CBCLX3","q3_m_act"
"CBCL6-18_q16","CBCL6_18 - 16 Cruel to others","OX6CBCL16","q16_m_act"
"CBCL6-18_q19","CBCL6_18 - 19 Demands a lot of attention","OX6CBCL19","q19_m_act"
"CBCL6-18_q20","CBCL6_18 - 20 Destroys own things","OX6CBCL20","q20_m_act"
"CBCL6-18_q21","CBCL6_18 - 21 Destroys others things","OX6CBCL21","q21_m_act"
"CBCL6-18_q22","CBCL6_18 - 22 Disobedient at home","OX6CBCL22","q22_m_act"
"CBCL6-18_q23","CBCL6_18 - 23 Disobedient at school","OX6CBCL23","q23_m_act"
"CBCL6-18_q37","CBCL6_18 - 37 Gets in fights","OX6CBCL37","q37_m_act"
"CBCL6-18_q57","CBCL6_18 - 57 Attacks others","OX6CBCL57","q57_m_act"
"CBCL6-18_q68","CBCL6_18 - 68 Screams a lot","OX6CBCL68","q68_m_act"
"CBCL6-18_q86","CBCL6_18 - 86 Stubborn, sullen","OX6CBCL86","q86_m_act"
"CBCL6-18_q87","CBCL6_18 - 87 Mood changes","OX6CBCL87","q87_m_act"
"CBCL6-18_q88","CBCL6_18 - 88 Sulks","OX6CBCL88","q88_m_act"
"CBCL6-18_q89","CBCL6_18 - 89 Suspicious","OX6CBCL89","q89_m_act"
"CBCL6-18_q94","CBCL6_18 - 94 Teases a lot","OX6CBCL94","q94_m_act"
"CBCL6-18_q95","CBCL6_18 - 95 Temper","OX6CBCL95","q95_m_act"
"CBCL6-18_q97","CBCL6_18 - 97 Threatens others","OX6CBCL97","q97_m_act"
"CBCL6-18_q104","CBCL6_18 - 104 Loud","OX6CBCL104","q104_m_act"
"CBCL6-18_q15","CBCL6_18 - 15 Cruel to animals",NA,"q15_m_act"
"CBCL6-18_q26","CBCL6_18 - 26 Lacks guilt",NA,"q26_m_act"
"CBCL6-18_q39","CBCL6_18 - 39 Bad friends",NA,"q39_m_act"
"CBCL6-18_q43","CBCL6_18 - 43 Lying",NA,"q43_m_act"
"CBCL6-18_q81","CBCL6_18 - 81 Steals at home",NA,"q81_m_act"
"CBCL6-18_q90","CBCL6_18 - 90 Swearing",NA,"q90_m_act"
"CBCL6-18_q101","CBCL6_18 - 101 Truant",NA,"q101_m_act"
"CBCL6-18_q106","CBCL6_18 - 106 Vandalism",NA,"q106_m_act"
